# x_m,y_m,w_tr_right_m,w_tr_left_m
-104.492522,46.294998,5.382,5.382
-109.744108,46.349636,5.381,5.381
-114.989448,46.405684,5.382,5.382
-120.241005,46.462697,5.385,5.385
-125.480118,46.518141,5.389,5.389
-130.719272,46.569378,5.396,5.396
-135.958472,46.616204,5.404,5.404
-141.203939,46.657955,5.413,5.413
-146.449426,46.696202,5.423,5.423
-151.688708,46.729670,5.433,5.433
-156.940445,46.758951,5.443,5.443
-162.185907,46.785285,5.453,5.453
-167.431388,46.807355,5.462,5.462
-172.682972,46.829183,5.469,5.469
-177.940790,46.852571,5.472,5.472
-183.192232,46.868455,5.463,5.463
-188.437405,46.877831,5.445,5.445
-193.688657,46.889955,5.428,5.428
-198.939700,46.907371,5.414,5.414
-204.184560,46.934744,5.409,5.409
-209.435570,46.985362,5.427,5.427
-214.680356,47.035257,5.443,5.443
-219.931214,47.051062,5.425,5.425
-225.181996,47.076017,5.415,5.415
-230.426475,47.111596,5.416,5.416
-235.677101,47.152560,5.422,5.422
-240.915234,47.197310,5.431,5.431
-246.165781,47.242484,5.444,5.444
-251.416288,47.291637,5.460,5.460
-256.660483,47.345147,5.481,5.481
-261.910913,47.398696,5.501,5.501
-267.161195,47.460035,5.524,5.524
-272.423951,47.520573,5.539,5.539
-277.680479,47.581674,5.543,5.543
-282.936915,47.648841,5.543,5.543
-288.187120,47.716890,5.535,5.535
-293.443571,47.781229,5.515,5.515
-298.700000,47.847414,5.492,5.492
-303.950151,47.918543,5.467,5.467
-309.200323,47.991622,5.442,5.442
-314.462530,48.079538,5.418,5.418
-319.612761,48.153891,5.410,5.410
-324.968637,48.206127,5.418,5.418
-330.217853,48.284289,5.369,5.369
-335.442085,48.359775,5.307,5.307
-340.585840,48.362623,5.263,5.263
-345.829357,48.344847,5.235,5.235
-350.958233,48.235518,5.156,5.156
-356.594037,47.886272,5.200,5.200
-362.021665,47.093383,5.605,5.605
-367.105709,45.901168,6.366,6.366
-371.761517,43.968985,7.092,7.092
-375.960585,40.897792,7.387,7.387
-379.182444,36.937859,7.116,7.116
-381.710844,32.280323,6.685,6.685
-383.486620,27.146649,5.988,5.988
-384.531403,21.931882,5.280,5.280
-385.080518,16.375593,4.843,4.843
-385.236111,10.607565,4.691,4.691
-385.216506,5.371194,4.676,4.676
-385.199653,0.159645,4.663,4.663
-385.182141,-5.101731,4.669,4.669
-385.182615,-10.361611,4.681,4.681
-385.160672,-15.628747,4.645,4.645
-385.132126,-20.827509,4.623,4.623
-385.104763,-26.101406,4.610,4.610
-385.093188,-31.357026,4.584,4.584
-385.088537,-36.637486,4.550,4.550
-385.106707,-41.893071,4.502,4.502
-385.105216,-47.111362,4.460,4.460
-385.127677,-52.404259,4.413,4.413
-385.163665,-57.622421,4.370,4.370
-385.193194,-62.890476,4.339,4.339
-385.254241,-68.152098,4.299,4.299
-385.319733,-73.394996,4.270,4.270
-385.402831,-78.662590,4.231,4.231
-385.480759,-83.886826,4.202,4.202
-385.572064,-89.179026,4.168,4.168
-385.693987,-94.445231,4.106,4.106
-385.815835,-99.649219,4.052,4.052
-385.924292,-104.903301,4.027,4.027
-386.068918,-110.187379,3.967,3.967
-386.199387,-115.390712,3.929,3.929
-386.326153,-120.637732,3.900,3.900
-386.445718,-125.865888,3.878,3.878
-386.555417,-131.100095,3.862,3.862
-386.662411,-136.334342,3.848,3.848
-386.762749,-141.574257,3.841,3.841
-386.866794,-146.820396,3.834,3.834
-386.969738,-152.060070,3.830,3.830
-387.076240,-157.305905,3.826,3.826
-387.189219,-162.557687,3.822,3.822
-387.306594,-167.796863,3.817,3.817
-387.423933,-173.042213,3.812,3.812
-387.538363,-178.281295,3.805,3.805
-387.653520,-183.526574,3.796,3.796
